Zeit: 20.30°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  1478 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1480 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1482 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1484 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1486 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1488 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1490 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1492 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1494 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1496 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1498 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1501 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1503 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1505 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1507 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1509 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1511 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1513 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1515 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1517 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1519 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1521 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1523 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1525 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1527 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1529 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1531 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1533 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1535 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1537 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1539 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1541 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1543 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1545 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1547 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1549 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1551 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1553 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1555 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1557 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1559 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1561 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1563 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1565 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1567 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1569 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1571 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1573 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1575 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1577 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1580 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1582 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1584 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1586 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1588 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1590 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1592 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1594 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1596 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1598 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1600 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1602 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1604 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1606 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1608 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1610 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1612 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1614 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1616 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1618 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1620 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1622 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1624 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1626 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1628 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1630 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1632 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1634 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1636 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1638 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1640 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1642 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1644 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1646 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1648 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1650 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1652 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1654 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1656 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1659 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1661 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1663 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1665 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1667 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1669 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1671 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1673 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1675 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1677 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1679 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1681 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1683 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1685 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1687 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:  1689 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1691 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1693 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1695 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1697 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1699 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1701 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1703 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1705 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1707 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1709 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1711 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1713 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1715 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1717 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1719 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1721 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1723 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1725 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1727 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1729 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1731 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1733 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:  1735 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:  1738 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1740 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:  1742 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:  1744 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:  1746 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:  1748 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 63.00%
Zeit:  1750 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1752 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1754 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1756 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1758 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1760 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1762 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1764 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1766 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1768 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1770 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1772 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1774 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1776 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1778 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1780 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1782 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1784 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1786 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1788 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1790 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1792 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1794 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1796 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1798 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1800 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1802 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1804 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1806 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1808 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1810 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1812 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1814 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1817 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1819 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1821 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1823 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1825 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1827 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1829 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1831 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1833 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1835 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1837 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1839 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1841 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1843 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1845 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1847 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1849 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1851 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1853 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1855 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1857 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1859 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1861 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1863 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1865 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1867 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1869 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1871 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1873 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1875 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1877 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1879 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1881 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1883 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1885 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1887 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1889 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1891 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1893 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1896 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1898 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1900 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1902 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1904 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1906 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1908 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1910 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1912 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1914 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1916 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1918 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1920 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1922 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1924 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1926 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1928 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1930 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1932 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:  1934 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1936 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:  1938 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 60.00%
Zeit:  1940 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 60.00%
Zeit:  1942 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 60.00%
Zeit:  1944 s; Temperatur: 22.90°C; rel. Luftfeuchtigkeit: 60.00%
Zeit:  1946 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 59.00%
Zeit:  1948 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 59.00%
Zeit:  1950 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 59.00%
Zeit:  1952 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  1954 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  1956 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  1958 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  1960 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 56.00%
Zeit:  1962 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 56.00%
Zeit:  1964 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  1966 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  1968 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  1970 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 59.00%
Zeit:  1972 s; Temperatur: 22.80°C; rel. Luftfeuchtigkeit: 59.00%
Zeit:  1975 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:  1977 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  1979 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  1981 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:  1983 s; Temperatur: 22.70°C; rel. Luftfeuchtigkeit: 56.00%
Zeit:  1985 s; Temperatur: 22.60°C; rel. Luftfeuchtigkeit: 55.00%
Zeit:  1987 s; Temperatur: 22.60°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  1989 s; Temperatur: 22.60°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:  1991 s; Temperatur: 22.60°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:  1993 s; Temperatur: 22.60°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:  1995 s; Temperatur: 22.60°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:  1997 s; Temperatur: 22.60°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:  1999 s; Temperatur: 22.60°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:  2001 s; Temperatur: 22.50°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:  2003 s; Temperatur: 22.50°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2005 s; Temperatur: 22.50°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2007 s; Temperatur: 22.50°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2009 s; Temperatur: 22.50°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2011 s; Temperatur: 22.40°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2013 s; Temperatur: 22.40°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2015 s; Temperatur: 22.40°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2017 s; Temperatur: 22.40°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2019 s; Temperatur: 22.40°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2021 s; Temperatur: 22.30°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2023 s; Temperatur: 22.30°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2025 s; Temperatur: 22.30°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2027 s; Temperatur: 22.30°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2029 s; Temperatur: 22.30°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2031 s; Temperatur: 22.30°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2033 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2035 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2037 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2039 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2041 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2043 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2045 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2047 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2049 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2051 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2054 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2056 s; Temperatur: 22.20°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2058 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2060 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2062 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 50.00%
Zeit:  2064 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:  2066 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:  2068 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:  2070 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:  2072 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  2074 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  2076 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  2078 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 55.00%
Zeit:  2080 s; Temperatur: 22.10°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  2082 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  2084 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  2086 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  2088 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:  2090 s; Temperatur: 22.00°C; rel. Luftfeuchtigkeit: 53.00%
